"hpId";"both_Accuracy";"both_Kappa";"both_AccuracyNull";"both_McnemarPValue";"both_Precision_aa";"both_Recall_aa";"both_F1_aa";"both_Prevalence_aa";"both_BalancedAccuracy_aa";"both_Precision_ca";"both_Recall_ca";"both_F1_ca";"both_Prevalence_ca";"both_BalancedAccuracy_ca";"both_Precision_pa";"both_Recall_pa";"both_F1_pa";"both_Prevalence_pa";"both_BalancedAccuracy_pa";"both_Precision_ac";"both_Recall_ac";"both_F1_ac";"both_Prevalence_ac";"both_BalancedAccuracy_ac";"both_Precision_cc";"both_Recall_cc";"both_F1_cc";"both_Prevalence_cc";"both_BalancedAccuracy_cc";"both_Precision_pc";"both_Recall_pc";"both_F1_pc";"both_Prevalence_pc";"both_BalancedAccuracy_pc";"both_Precision_ap";"both_Recall_ap";"both_F1_ap";"both_Prevalence_ap";"both_BalancedAccuracy_ap";"both_Precision_cp";"both_Recall_cp";"both_F1_cp";"both_Prevalence_cp";"both_BalancedAccuracy_cp";"both_Precision_pp";"both_Recall_pp";"both_F1_pp";"both_Prevalence_pp";"both_BalancedAccuracy_pp";"left_Accuracy";"left_Kappa";"left_AccuracyNull";"left_McnemarPValue";"left_Precision_a";"left_Recall_a";"left_F1_a";"left_Prevalence_a";"left_BalancedAccuracy_a";"left_Precision_c";"left_Recall_c";"left_F1_c";"left_Prevalence_c";"left_BalancedAccuracy_c";"left_Precision_p";"left_Recall_p";"left_F1_p";"left_Prevalence_p";"left_BalancedAccuracy_p";"right_Accuracy";"right_Kappa";"right_AccuracyNull";"right_McnemarPValue";"right_Precision_a";"right_Recall_a";"right_F1_a";"right_Prevalence_a";"right_BalancedAccuracy_a";"right_Precision_c";"right_Recall_c";"right_F1_c";"right_Prevalence_c";"right_BalancedAccuracy_c";"right_Precision_p";"right_Recall_p";"right_F1_p";"right_Prevalence_p";"right_BalancedAccuracy_p"
6;0.255813953488372;0.0620313565098842;0.395348837209302;NA;0;0;NA;0.0930232558139535;0.487179487179487;NA;0;NA;0.0232558139534884;0.5;0;0;NA;0.0697674418604651;0.45;NA;0;NA;0.0697674418604651;0.5;0.166666666666667;0.25;0.2;0.0930232558139535;0.560897435897436;0.333333333333333;0.333333333333333;0.333333333333333;0.0697674418604651;0.641666666666667;0;0;NA;0.0697674418604651;0.475;0;0;NA;0.116279069767442;0.355263157894737;0.5625;0.529411764705882;0.545454545454546;0.395348837209302;0.630090497737557;0.441860465116279;0.0785714285714287;0.534883720930233;0.201987890587546;0;0;NA;0.232558139534884;0.454545454545455;0.235294117647059;0.4;0.296296296296296;0.232558139534884;0.503030303030303;0.652173913043478;0.652173913043478;0.652173913043478;0.534883720930233;0.626086956521739;0.534883720930233;0.134808853118712;0.581395348837209;0.774392516971433;0.2;0.125;0.153846153846154;0.186046511627907;0.505357142857143;0.444444444444444;0.4;0.421052631578947;0.232558139534884;0.624242424242424;0.620689655172414;0.72;0.666666666666667;0.581395348837209;0.554444444444444
8;0.372093023255814;0.188679245283019;0.395348837209302;NA;0.25;0.5;0.333333333333333;0.0930232558139535;0.673076923076923;NA;0;NA;0.0232558139534884;0.5;0.5;0.333333333333333;0.4;0.0697674418604651;0.654166666666667;0.333333333333333;0.333333333333333;0.333333333333333;0.0697674418604651;0.641666666666667;0.333333333333333;0.25;0.285714285714286;0.0930232558139535;0.599358974358974;0.5;0.333333333333333;0.4;0.0697674418604651;0.654166666666667;NA;0;NA;0.0697674418604651;0.5;0.333333333333333;0.4;0.363636363636364;0.116279069767442;0.647368421052632;0.421052631578947;0.470588235294118;0.444444444444444;0.395348837209302;0.523755656108597;0.581395348837209;0.308928571428572;0.534883720930233;0.968439793391279;0.545454545454545;0.6;0.571428571428571;0.232558139534884;0.724242424242424;0.444444444444444;0.4;0.421052631578947;0.232558139534884;0.624242424242424;0.652173913043478;0.652173913043478;0.652173913043478;0.534883720930233;0.626086956521739;0.488372093023256;0.110902255639098;0.581395348837209;NA;0.4;0.5;0.444444444444444;0.186046511627907;0.664285714285714;0.375;0.3;0.333333333333333;0.232558139534884;0.574242424242424;0.56;0.56;0.56;0.581395348837209;0.474444444444444
2;0.27906976744186;0.0532670454545455;0.395348837209302;NA;0;0;NA;0.0930232558139535;0.461538461538462;NA;0;NA;0.0232558139534884;0.5;NA;0;NA;0.0697674418604651;0.5;NA;0;NA;0.0697674418604651;0.5;0.333333333333333;0.25;0.285714285714286;0.0930232558139535;0.599358974358974;0;0;NA;0.0697674418604651;0.4875;0;0;NA;0.0697674418604651;0.4625;0.153846153846154;0.4;0.222222222222222;0.116279069767442;0.555263157894737;0.45;0.529411764705882;0.486486486486486;0.395348837209302;0.55316742081448;0.534883720930233;0.24956369982548;0.534883720930233;0.212290287360133;0.333333333333333;0.2;0.25;0.232558139534884;0.539393939393939;0.4375;0.7;0.538461538461538;0.232558139534884;0.713636363636364;0.666666666666667;0.608695652173913;0.636363636363636;0.534883720930233;0.629347826086956;0.534883720930233;0.0282485875706212;0.581395348837209;0.0587379481365642;0.333333333333333;0.125;0.181818181818182;0.186046511627907;0.533928571428571;0.25;0.1;0.142857142857143;0.232558139534884;0.504545454545455;0.583333333333333;0.84;0.688524590163934;0.581395348837209;0.503333333333333
6;0.255813953488372;0.0129124820659971;0.395348837209302;NA;0.333333333333333;0.25;0.285714285714286;0.0930232558139535;0.599358974358974;NA;0;NA;0.0232558139534884;0.5;NA;0;NA;0.0697674418604651;0.5;0;0;NA;0.0697674418604651;0.45;0.0909090909090909;0.25;0.133333333333333;0.0930232558139535;0.496794871794872;0;0;NA;0.0697674418604651;0.4875;NA;0;NA;0.0697674418604651;0.5;0;0;NA;0.116279069767442;0.473684210526316;0.409090909090909;0.529411764705882;0.461538461538462;0.395348837209302;0.514705882352941;0.441860465116279;0.0785714285714287;0.534883720930233;0.737063207908726;0.571428571428571;0.4;0.470588235294118;0.232558139534884;0.654545454545455;0.153846153846154;0.2;0.173913043478261;0.232558139534884;0.433333333333333;0.565217391304348;0.565217391304348;0.565217391304348;0.534883720930233;0.532608695652174;0.418604651162791;-0.00938967136150234;0.581395348837209;0.120628802361289;0.333333333333333;0.125;0.181818181818182;0.186046511627907;0.533928571428571;0.25;0.4;0.307692307692308;0.232558139534884;0.518181818181818;0.541666666666667;0.52;0.530612244897959;0.581395348837209;0.454444444444444
2;0.27906976744186;0.0241581259150805;0.395348837209302;NA;0;0;NA;0.0930232558139535;0.461538461538462;NA;0;NA;0.0232558139534884;0.5;NA;0;NA;0.0697674418604651;0.5;0.333333333333333;0.666666666666667;0.444444444444444;0.0697674418604651;0.783333333333333;0;0;NA;0.0930232558139535;0.487179487179487;NA;0;NA;0.0697674418604651;0.5;0;0;NA;0.0697674418604651;0.475;0.142857142857143;0.2;0.166666666666667;0.116279069767442;0.521052631578947;0.375;0.529411764705882;0.439024390243902;0.395348837209302;0.476244343891403;0.418604651162791;0.0289069557362242;0.534883720930233;0.331529724762201;0.272727272727273;0.3;0.285714285714286;0.232558139534884;0.528787878787879;0.25;0.2;0.222222222222222;0.232558139534884;0.509090909090909;0.541666666666667;0.565217391304348;0.553191489361702;0.534883720930233;0.507608695652174;0.511627906976744;0.0290322580645161;0.581395348837209;0.227647113061301;0.333333333333333;0.125;0.181818181818182;0.186046511627907;0.533928571428571;0.285714285714286;0.2;0.235294117647059;0.232558139534884;0.524242424242424;0.575757575757576;0.76;0.655172413793103;0.581395348837209;0.491111111111111
8;0.209302325581395;-0.058653149891383;0.395348837209302;NA;0;0;NA;0.0930232558139535;0.435897435897436;NA;0;NA;0.0232558139534884;0.5;NA;0;NA;0.0697674418604651;0.5;NA;0;NA;0.0697674418604651;0.5;0;0;NA;0.0930232558139535;0.474358974358974;0;0;NA;0.0697674418604651;0.45;0.25;0.333333333333333;0.285714285714286;0.0697674418604651;0.629166666666667;0.2;0.2;0.2;0.116279069767442;0.547368421052632;0.304347826086957;0.411764705882353;0.35;0.395348837209302;0.398190045248869;0.302325581395349;-0.207865168539326;0.534883720930233;0.444163231558794;0.111111111111111;0.1;0.105263157894737;0.232558139534884;0.428787878787879;0.142857142857143;0.1;0.117647058823529;0.232558139534884;0.459090909090909;0.407407407407407;0.478260869565217;0.44;0.534883720930233;0.339130434782609;0.534883720930233;0.0937829293993676;0.581395348837209;0.0547712220073187;0.2;0.125;0.153846153846154;0.186046511627907;0.505357142857143;0.333333333333333;0.2;0.25;0.232558139534884;0.539393939393939;0.625;0.8;0.701754385964912;0.581395348837209;0.566666666666667
6;0.255813953488372;0.0129124820659971;0.395348837209302;NA;0.333333333333333;0.25;0.285714285714286;0.0930232558139535;0.599358974358974;NA;0;NA;0.0232558139534884;0.5;NA;0;NA;0.0697674418604651;0.5;0;0;NA;0.0697674418604651;0.45;0.0909090909090909;0.25;0.133333333333333;0.0930232558139535;0.496794871794872;0;0;NA;0.0697674418604651;0.4875;NA;0;NA;0.0697674418604651;0.5;0;0;NA;0.116279069767442;0.473684210526316;0.409090909090909;0.529411764705882;0.461538461538462;0.395348837209302;0.514705882352941;0.441860465116279;0.0785714285714287;0.534883720930233;0.737063207908726;0.571428571428571;0.4;0.470588235294118;0.232558139534884;0.654545454545455;0.153846153846154;0.2;0.173913043478261;0.232558139534884;0.433333333333333;0.565217391304348;0.565217391304348;0.565217391304348;0.534883720930233;0.532608695652174;0.418604651162791;-0.00938967136150234;0.581395348837209;0.120628802361289;0.333333333333333;0.125;0.181818181818182;0.186046511627907;0.533928571428571;0.25;0.4;0.307692307692308;0.232558139534884;0.518181818181818;0.541666666666667;0.52;0.530612244897959;0.581395348837209;0.454444444444444
2;0.27906976744186;0.0241581259150805;0.395348837209302;NA;0;0;NA;0.0930232558139535;0.461538461538462;NA;0;NA;0.0232558139534884;0.5;NA;0;NA;0.0697674418604651;0.5;0.333333333333333;0.666666666666667;0.444444444444444;0.0697674418604651;0.783333333333333;0;0;NA;0.0930232558139535;0.487179487179487;NA;0;NA;0.0697674418604651;0.5;0;0;NA;0.0697674418604651;0.475;0.142857142857143;0.2;0.166666666666667;0.116279069767442;0.521052631578947;0.375;0.529411764705882;0.439024390243902;0.395348837209302;0.476244343891403;0.418604651162791;0.0289069557362242;0.534883720930233;0.331529724762201;0.272727272727273;0.3;0.285714285714286;0.232558139534884;0.528787878787879;0.25;0.2;0.222222222222222;0.232558139534884;0.509090909090909;0.541666666666667;0.565217391304348;0.553191489361702;0.534883720930233;0.507608695652174;0.511627906976744;0.0290322580645161;0.581395348837209;0.227647113061301;0.333333333333333;0.125;0.181818181818182;0.186046511627907;0.533928571428571;0.285714285714286;0.2;0.235294117647059;0.232558139534884;0.524242424242424;0.575757575757576;0.76;0.655172413793103;0.581395348837209;0.491111111111111
8;0.209302325581395;-0.058653149891383;0.395348837209302;NA;0;0;NA;0.0930232558139535;0.435897435897436;NA;0;NA;0.0232558139534884;0.5;NA;0;NA;0.0697674418604651;0.5;NA;0;NA;0.0697674418604651;0.5;0;0;NA;0.0930232558139535;0.474358974358974;0;0;NA;0.0697674418604651;0.45;0.25;0.333333333333333;0.285714285714286;0.0697674418604651;0.629166666666667;0.2;0.2;0.2;0.116279069767442;0.547368421052632;0.304347826086957;0.411764705882353;0.35;0.395348837209302;0.398190045248869;0.302325581395349;-0.207865168539326;0.534883720930233;0.444163231558794;0.111111111111111;0.1;0.105263157894737;0.232558139534884;0.428787878787879;0.142857142857143;0.1;0.117647058823529;0.232558139534884;0.459090909090909;0.407407407407407;0.478260869565217;0.44;0.534883720930233;0.339130434782609;0.534883720930233;0.0937829293993676;0.581395348837209;0.0547712220073187;0.2;0.125;0.153846153846154;0.186046511627907;0.505357142857143;0.333333333333333;0.2;0.25;0.232558139534884;0.539393939393939;0.625;0.8;0.701754385964912;0.581395348837209;0.566666666666667
39;0.27906976744186;-0.0341349883630722;0.395348837209302;NA;0.2;0.25;0.222222222222222;0.0930232558139535;0.573717948717949;NA;0;NA;0.0232558139534884;0.5;0;0;NA;0.0697674418604651;0.4875;NA;0;NA;0.0697674418604651;0.5;0;0;NA;0.0930232558139535;0.423076923076923;NA;0;NA;0.0697674418604651;0.5;0;0;NA;0.0697674418604651;0.4875;NA;0;NA;0.116279069767442;0.5;0.366666666666667;0.647058823529412;0.468085106382979;0.395348837209302;0.458144796380091;0.441860465116279;-0.0157480314960628;0.534883720930233;0.40201848834297;0.166666666666667;0.1;0.125;0.232558139534884;0.474242424242424;0.333333333333333;0.2;0.25;0.232558139534884;0.539393939393939;0.516129032258065;0.695652173913043;0.592592592592593;0.534883720930233;0.472826086956522;0.488372093023256;0.020703933747412;0.581395348837209;NA;0.5;0.375;0.428571428571429;0.186046511627907;0.644642857142857;0.166666666666667;0.1;0.125;0.232558139534884;0.474242424242424;0.548387096774194;0.68;0.607142857142857;0.581395348837209;0.451111111111111
