"hpId";"hist_length";"epochs_used_perc";"hist_intercept";"hist_slope";"duration_three"
5;10;1;1701.81185947884;-27.0710802128285;8.18327498435974
7;10;1;1728.84511545626;-21.370388124333;10.2942819595337
6;10;1;1083.84517701818;-33.1768409207092;6.69568395614624
1;10;1;2979.96213553945;-40.8522749825631;8.31462097167969
3;10;1;2699.10911883539;-58.4050640389068;9.53522920608521
8;10;1;909.859565835023;-11.6086612843931;8.21254205703735
2;10;1;1157.48801299387;0.00319148010860094;6.98358201980591
4;10;1;1309.80961137941;3.77474581891061;8.5097541809082
5;10;1;22404.803212838;-94.1355920904251;14.7178390026093
6;10;1;12571.5420440975;-47.8271182145784;12.416435956955
1;10;1;22288.3942466728;-95.822641001718;14.5472269058228
7;10;1;22227.1043001973;-66.5921970260276;22.0886609554291
3;10;1;24117.2259798801;-222.788221429435;22.3833980560303
2;10;1;13395.0793015177;-156.761022426847;11.9362549781799
8;10;1;12173.2897387894;-30.8303469086287;19.9476480484009
4;10;1;13335.0855168695;-163.317448213389;19.703891992569
5;10;1;22404.803212838;-94.1355920904251;14.7404549121857
6;10;1;12571.5420440975;-47.8271182145784;12.7835829257965
1;10;1;22288.3942466728;-95.822641001718;16.0742537975311
7;10;1;22227.1043001973;-66.5921970260276;22.0795481204987
3;10;1;24117.2259798801;-222.788221429435;22.9306600093842
2;10;1;13395.0793015177;-156.761022426847;11.8712468147278
8;10;1;12173.2897387894;-30.8303469086287;19.7960140705109
4;10;1;13335.0855168695;-163.317448213389;20.3990080356598
25;30;1;1575.5356863421;-0.841243934982156;21.0187420845032
27;30;1;1602.4923836071;-2.62768690865501;21.9878890514374
26;30;1;1812.11396116263;-11.8244422305229;22.8734970092773
39;30;1;803.91122098672;-1.53574051816683;14.5051259994507
1;30;1;1660.67253746021;-4.68830655141148;30.8757319450378
2;30;1;1694.06714305029;-6.42981378286563;31.7447469234467
3;30;1;1823.75086127894;-11.0661980062502;29.9749178886414
50;30;1;1816.52692349837;-11.5290733501272;37.0825982093811
49;30;1;1913.07359598047;-13.1393420405703;36.6465480327606
51;30;1;1784.76719950898;-10.1361200025104;37.3705470561981
38;30;1;866.311862193489;-4.157479743356;17.1091208457947
37;30;1;1125.00134334187;-13.0533095009836;16.9391210079193
15;30;1;1019.7686096207;-9.06397083428855;27.3211479187012
14;30;1;800.89013835213;-1.33760200582838;27.1449890136719
13;30;1;831.448104782764;-2.36939390609475;28.6672191619873
61;30;1;948.092989992376;-7.74731669399046;33.9789419174194
