"","vars","t","model","acc","kappa"
"1",28,0,"null",0.547045775357935,0
"2",28,0,"rf",0.597035692679976,0.288506971339503
"3",28,0,"ranger",0.594656180681589,0.283655309620564
"4",28,0,"gbm",0.597096188747731,0.28671678115872
"5",28,0,"naive_bayes",0.337830207703166,0.114086040057987
"6",28,0,"C5.0",0.594696511393426,0.298517675837082
"7",14,1,"null",0.516996183302183,0
"8",14,1,"rf",0.605025371233908,0.291074328824456
"9",14,1,"ranger",0.616345829111787,0.277785157425266
"10",14,1,"gbm",0.588203477505711,0.299819513629867
"11",14,1,"naive_bayes",0.384397189341355,0.171719544272578
"12",14,1,"C5.0",0.589237441816073,0.271362227438242
"13",39,2,"null",0.497297297297297,0
"14",39,2,"rf",0.627021758600706,0.332156689747368
"15",39,2,"ranger",0.650205468626521,0.421735551088358
"16",39,2,"gbm",0.591209630683315,0.331787613609938
"17",39,2,"naive_bayes",0.343857014909646,0.12875440672681
"18",39,2,"C5.0",0.596080290817133,0.341837663115215
"19",11,3,"null",0.5,0
"20",11,3,"rf",0.641500474833808,0.408770167351318
"21",11,3,"ranger",0.626780626780627,0.381744394051886
"22",11,3,"gbm",0.619278252611586,0.368647420436934
"23",11,3,"naive_bayes",0.365716999050332,0.162345126002674
"24",11,3,"C5.0",0.589173789173789,0.32315534689423
